Time,Type,Difficulty,"Workout Names (Subtitle)
EQUATION: [X Minute] [Difficulty] [Category] [Target Areas] Workout--With [Participant Name] ([Category-Position)]",Vimeo Link (videos are removed from Vimeo as of 5/18/26)
<15,Bodyweight,Intermediate,6 Minute Intermediate Bodyweight Total Body Workout – With Jim (Bodyweight-Standing),
<15,Bodyweight,Intermediate,12 Minute Intermediate Bodyweight Total Body Workout – With Jim (Bodyweight-Standing),
<15,Bodyweight,Intermediate,12 Minute Intermediate Bodyweight Lower Body Workout – With Rita (Bodyweight-Standing),https://vimeo.com/1109667782?fl=pl&fe=sh
15-30,Bodyweight,Intermediate,16 Minute Intermediate Bodyweight Total Body Workout – With Rita (Bodyweight-Mix),https://vimeo.com/1110286555?fl=pl&fe=sh
15-30,Bodyweight,Intermediate,20 Minute Intermediate Bodyweight Total Body Workout – With Rita (Bodyweight-Standing),https://vimeo.com/1115145040
<15,Bodyweight,Beginner,10 Minute Beginner Bodyweight Total Body Workout - With Lynn (Bodyweight - Mix),https://vimeo.com/1109703117?fl=pl&fe=sh
15-30,Bodyweight,Beginner,15 Minute Beginner Bodyweight Total Body Workout - With Lynn (Bodyweight - Mix),https://vimeo.com/1111651589?fl=pl&fe=sh
15-30,Bodyweight,Intermediate,20 Minute Intermediate Bodyweight Total Body Workout – With Lynn (Bodyweight-Mix),https://vimeo.com/1115489443?fl=pl&fe=sh
<15,Bodyweight,Intermediate,10 Minute Intermediate Bodyweight Total Body Workout--With Rita (Bodyweight- Mix),https://vimeo.com/1115181060
15-30,Bodyweight,Intermediate,16 Minute Intermediate Bodyweight Total Body Workout--With Rita (Bodyweight-Mix),https://vimeo.com/1115204262
15-30,Bodyweight,Intermediate,20 Minute Intermediate Bodyweight Lower Body & Abs Workout- With Rita (Bodyweight-Seated),https://vimeo.com/1115227794
<15,Bodyweight,Intermediate,15 Minute Intermediate Bodyweight Total Body Workout--With Liz (Bodyweight-Mix),https://vimeo.com/1127891199?fl=pl&fe=sh
<15,Bodyweight,Beginner,10 Minute Beginner Bodyweight Total Body Workout--With Lynn (Bodyweight--Seated),https://vimeo.com/1112921827?share=copy#t=0
<15,Bodyweight,Intermediate,12 Minute Intermediate Bodyweight Total Body Workout--With Lynn (Bodyweight--Mix),https://vimeo.com/1119930106?fl=pl&fe=sh
15-30,Bodyweight,Advanced,15 Minute Advanced Bodyweight Total Body Workout--With Lynn (Bodyweight--Mix),https://vimeo.com/1119904375?fl=pl&fe=sh
<15,Bodyweight,Beginner,10 Minute Beginner Bodyweight Total Body Workout--With Sonjia (Bodyweight--Mix),https://vimeo.com/1131306307?fl=ip&fe=ec
15-30,Bodyweight,Intermediate,15 Minute Intermediate Bodyweight Total Body Workout--With Sonjia (Bodyweight--Mix),https://vimeo.com/1131334270?fl=ip&fe=ec
15-30,Bodyweight,Intermediate,15 Minute Intermediate Bodyweight Total Body Workout--With Sonjia (Bodyweight--Mix),https://vimeo.com/1135413443?fl=pl&fe=sh
<15,Dumbbell,Beginner,10 Minute Beginner Dumbbell Total Body Workout--With Shawn (Dumbbell- Mix),https://vimeo.com/1109397488
15-30,Dumbbell,Beginner,15 Minute Beginner Dumbbell Upper Body & Core Workout--With Shawn (Dumbbell- Mix),https://vimeo.com/1115970057
<15,Dumbbell,Beginner,10 Minute Beginner Dumbbell Total Body Workout--With Liz (Dumbbell- Mix),https://vimeo.com/1127867148?fl=pl&fe=sh
15-30,Dumbbell,Intermediate,15 Minute Intermediate Dumbbell Total Body Workout--With Liz (Dumbbell- Mix),https://vimeo.com/1128940444?fl=pl&fe=sh
15-30,Dumbbell,Intermediate,20 Minute Intermediate Dumbbell Total Body Workout--With Liz (Dumbbell- Mix),https://vimeo.com/1135478498?fl=pl&fe=sh
15-30,Dumbbell,Intermediate,20 Minute Intermediate Dumbbell Total Body Workout--With Liz (Dumbbell- Mix),
15-30,Dumbbell,Advanced,25 Minute Advanced Dumbbell Total Body Workout--With Liz (Dumbbell-Mix),https://vimeo.com/1135355515?fl=pl&fe=sh
<15,Yoga,Beginner,10 Minute Beginner Chair Yoga--With Mariah,https://vimeo.com/1115112908
15-30,Yoga,Beginner,15 Minute Beginner Chair Yoga Flow--With Mariah,https://vimeo.com/1115520177?fl=pl&fe=sh
15-30,Yoga,Beginner,20 Minute Beginner Chair Yoga--With Mariah,https://vimeo.com/1115680786
<15,Yoga,Beginner,10 Minute Beginner Chair Yoga--With Ivonne,https://vimeo.com/1113105307
15-30,Yoga,Beginner,15 Minute Beginner Chair Yoga Flow--With Ivonne,https://vimeo.com/1113623852
15-30,Yoga,Beginner,20 Minute Beginner Chair Yoga Flow--With Ivonne,https://vimeo.com/1113968805
<10,Tai Chi,Beginner,10 Minute Beginner Tai Chi--With Ivonne,https://vimeo.com/1109423738
<10,Tai Chi,Beginner,12 Minute Beginner Tai Chi--With Ivonne,
15-30,Tai Chi,Beginner,15 Minute Beginner Tai Chi--With Ivonne,https://vimeo.com/1113589628
